date,text,clean_text,sentiment,sentiment_score,topic,engagement_score
2023-09-11,Air France call center always busy. Can't get through for 3 days.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.4098226303767093,Positive,69
2023-11-27,Great service from Air France today! Agent was very helpful with my rebooking.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.5084050406541396,Agent Continuity,5
2023-09-01,Air France lost my luggage and customer service is unresponsive.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.6520864115174738,Visa Issues,66
2023-06-15,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France customer service is terrible! Been on hold for 2 hours.,Positive,0.4032182318863474,Call Center,6
2023-09-15,"Booking change with Air France - website shows one price, agent quotes another.",Great service from Air France today! Agent was very helpful with my rebooking.,Positive,0.2998888439178123,Language Barriers,50
2023-08-11,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!","Every time I call Air France, I get a different agent and have to explain everything again.",Neutral,0.2571502846993724,Agent Continuity,71
2023-06-21,Air France call center always busy. Can't get through for 3 days.,Air France agent couldn't understand my English properly. Communication barrier issues.,Negative,0.9053988703515377,Visa Issues,41
2023-09-11,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!","Every time I call Air France, I get a different agent and have to explain everything again.",Neutral,0.5124792933038593,Luggage Issues,63
2023-09-30,Air France customer service is terrible! Been on hold for 2 hours.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.6358719658856198,Positive,14
2023-08-14,Air France customer service is terrible! Been on hold for 2 hours.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.8893824138766697,Call Center,28
2023-08-27,Air France call center always busy. Can't get through for 3 days.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.2620613150264796,Agent Continuity,32
2023-09-25,Air France call center always busy. Can't get through for 3 days.,Air France lost my luggage and customer service is unresponsive.,Neutral,0.8574961144443445,Agent Continuity,93
2023-09-08,Air France agent couldn't understand my English properly. Communication barrier issues.,"Every time I call Air France, I get a different agent and have to explain everything again.",Neutral,0.6136909044080525,Language Barriers,26
2023-09-12,Air France call center always busy. Can't get through for 3 days.,Air France call center always busy. Can't get through for 3 days.,Negative,0.3236256958527507,Language Barriers,35
2023-10-30,"Every time I call Air France, I get a different agent and have to explain everything again.",Great service from Air France today! Agent was very helpful with my rebooking.,Neutral,0.5084413374390269,Luggage Issues,28
2023-10-09,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Mixed experience - good flight but terrible ground service from Air France.,Negative,0.7832017128014193,Positive,37
2023-10-28,Air France lost my luggage and customer service is unresponsive.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.5602775613997659,Luggage Issues,56
2023-07-23,Mixed experience - good flight but terrible ground service from Air France.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.9389645379991283,Visa Issues,96
2023-06-02,Air France call center always busy. Can't get through for 3 days.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.4825542274534556,Visa Issues,26
2023-08-27,Great service from Air France today! Agent was very helpful with my rebooking.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.762183724982054,Luggage Issues,54
2023-11-05,Air France customer service is terrible! Been on hold for 2 hours.,Air France agent couldn't understand my English properly. Communication barrier issues.,Negative,0.4947420867341444,Positive,32
2023-07-08,"Every time I call Air France, I get a different agent and have to explain everything again.",Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.8218731655298859,Luggage Issues,67
2023-10-08,"Booking change with Air France - website shows one price, agent quotes another.","Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.6268111018743108,Positive,85
2023-06-21,Mixed experience - good flight but terrible ground service from Air France.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.24763387219250102,Positive,65
2023-11-08,Air France lost my luggage and customer service is unresponsive.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.22761640072699355,Call Center,9
2023-07-28,Mixed experience - good flight but terrible ground service from Air France.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.3003890891004749,Positive,4
2023-06-22,Air France call center always busy. Can't get through for 3 days.,Air France call center always busy. Can't get through for 3 days.,Negative,0.21025397362024797,Language Barriers,73
